"Loan reference","Outstanding Scheme Facility Principal2","Outstanding Scheme Facility Principal","Total amount claimed under the Government Guarantee2","Total amount claimed from the DTI","Settled Amount2","Settled Amount","Cumulative Value of All Pre-Claim Limit Realisations2","Cumulative Value of All Pre-Claim Limit Realisations","Cumulative Value of All Post-Claim Limit Realisations2","Cumulative Value of All Post-Claim Limit Realisations"
"M69QG54+01",17000,17000,12750,12750,12750,0,3402,3402,0,0
"QL5C8DZ+01",17073.91,17073.91,12805.43,12805.43,12805.43,0,0,0,0,0
"YRVA6T8+01",17303.85,17303.85,12977.89,12977.89,12977.89,0,2142.03,2142.03,0,0
"GC3XEHS+01",17375.07,17375.07,13031.3,13031.3,13031.3,0,0,0,0,0
"M83AR46+01",17380.18,17380.18,13035.14,13035.14,13035.14,0,0,0,0,0
"FTXLSER+01",17504.41,17504.41,13128.31,13128.31,13128.31,0,0,0,0,0
"7BHSPBC+01",17506.75,17506.75,13130.06,13130.06,13130.06,0,157.5,157.5,0,0
"48MKT97+01",17508.8,17508.8,13131.6,13131.6,13131.6,0,0,0,0,0
"H9HMFSM+01",17575,17575,13181.25,13181.25,13181.25,0,0,0,0,0
"4XWTQU8+01",17626.95,17626.95,13220.21,13220.21,13220.21,0,0,0,0,0
"DQ5ETLQ+01",17881.92,17881.92,13411.44,13411.44,13411.44,0,0,0,0,0
"SD7STG2+01",18180.58,18180.58,13635.44,13635.44,13635.44,0,0,0,0,0
"NGE7X4H+01",18270.02,18270.02,13702.52,13702.52,13702.52,0,0,0,0,0
"J3WFK5M+01",18533.28,18533.28,13899.96,13899.96,13899.96,0,0,0,0,0
"DBFEG73+01",18627.36,18627.36,13970.52,13970.52,13970.52,0,195,195,0,0
"UB79LWX+01",18685,18685,14013.75,14013.75,14013.75,0,0,0,195,195
"LMDZ8EV+01",18725,18725,14043.75,14043.75,14043.75,0,0,0,0,0
"VSWAUUJ+01",18923.06,18923.06,14192.3,14192.3,14192.3,0,0,0,3375,3375
"WUFEAKD+01",18937.55,18937.55,14203.16,14203.16,14203.16,0,0,0,0,0
"LR5V3C6+01",19087.53,19087.53,14315.65,14315.65,14315.65,0,375,375,0,0
"KBG26DH+01",19336.84,19336.84,14502.63,14502.63,14502.63,0,0,0,0,0
"82JCYH9+01",19358.34,19358.34,14518.76,14518.76,14518.76,0,0,0,0,0
"ZFARJQH+01",19550,19550,14662.5,14662.5,14662.5,14662.5,0,0,0,0
"BEAZLXF+01",19614.78,19614.78,14711.09,14711.09,14711.09,0,14711.08,14711.08,0,0
"MJKLAJP+01",19665,19665,14748.75,14748.75,14748.75,0,0,0,0,0
"FCWD6YW+01",19701.98,19701.98,14776.49,14776.49,14776.49,0,3751.76,3751.76,482.81,482.81
"DBL444H+01",19740,19740,14805,14805,14805,0,1932,1932,0,0
"K46KTMB+01",19775,19775,14831.25,14831.25,14831.25,0,0,0,0,0
"RRB5C9L+01",19779.21,19779.21,14834.41,14834.41,14834.41,0,0,0,0,0
"AF3WUYH+01",19873.59,19873.59,14905.19,14905.19,14905.19,0,0,0,11625,11625
"YZA6EE6+01",16250,16250,12187.5,12187.5,12187.5,0,0,0,0,0
"E385F86+01",16300.04,16300.04,12225.03,12225.03,12225.03,0,0,0,0,0
"MS9M6NH+01",16496.63,16496.63,12372.47,12372.47,12372.47,0,0,0,0,0
"TGJDAE6+01",16811.96,16811.96,12608.97,12608.97,12608.97,0,0,0,0,0
"P2PUNLN+01",16978.04,16978.04,12733.53,12733.53,12733.53,0,0,0,0,0
"JKU5ZAX+01",16999.98,16999.98,12749.99,12749.99,12749.99,0,0,0,0,0
"5V3GZWN+01",25153.37,25153.37,18865.03,18865.03,18865.03,0,0,0,11578.82,11578.82
"UKJ89BC+01",25320.83,25320.83,18990.62,18990.62,18990.62,0,0,0,0,0
"FFDK49F+01",25500,25500,19125,19125,19125,0,0,0,0,0
"QL4JZLP+01",25530.6,25530.6,19147.95,19147.95,19147.95,0,0,0,0,0
"N87FPB8+01",25666.72,25666.72,19250.04,19250.04,19250.04,0,9000,9000,1800,1800
"2EPTSES+01",25755,25755,19316.25,19316.25,19316.25,0,0,0,0,0
"WV7ZW6Z+01",25755,25755,19316.25,19316.25,19316.25,0,0,0,0,0
"RNPHEY9+01",25849.9,25849.9,19387.42,19387.42,19387.42,19387.42,0,0,0,0
"C5UM2ZX+01",25913.76,25913.76,19435.32,19435.32,19435.32,0,0,0,0,0
"YA84G3T+01",25927.75,25927.75,19445.81,19445.81,19445.81,0,0,0,0,0
"KV2XVUR+01",26368.56,26368.56,19776.42,19776.42,19776.42,19776.42,0,0,0,0
"DVYU8GD+01",27142.88,27142.88,20357.16,20357.16,20357.16,0,0,0,0,0
"WKJPMA8+01",27339.19,27339.19,20504.39,20504.39,20504.39,0,48.75,48.75,0,0
"5EBBQDX+01",27526.27,27526.27,20644.7,20644.7,20644.7,0,9187.5,9187.5,3281.25,3281.25
"22Q7JT7+01",27774.91,27774.91,20831.18,20831.18,20831.18,0,0,0,319.5,319.5
"MZGMX8J+01",27813.86,27813.86,20860.4,20860.4,20860.4,0,0,0,0,0
"KHZE6AD+01",28160.34,28160.34,21120.26,21120.26,21120.26,0,0,0,0,0
"ZDQQY5C+01",28252.58,28252.58,21189.44,21189.44,21189.44,0,0,0,0,0
"ZA9A63F+01",28867.28,28867.28,21650.46,21650.46,21650.46,0,0,0,0,0
"J8UDRQY+01",29166.7,29166.7,21875.02,21875.02,21875.02,21875.02,0,0,0,0
"VCD4SS8+01",29398.32,29398.32,22048.74,22048.74,22048.74,0,60,60,0,0
"5UCX3EM+01",29543,29543,22157.25,22157.25,22157.25,22157.25,0,0,0,0
"KZXPXJF+01",29945.52,29945.52,22459.14,22459.14,22459.14,0,0,0,0,0
"TKXVN82+01",30116.5,30116.5,22587.38,22587.38,22587.38,0,0,0,0,0
"BFV4YWT+01",30217.5,30217.5,22663.13,22663.13,22663.13,0,3732.56,3732.56,8727.68,8727.68
"G7X3ED3+01",30377.42,30377.42,22783.06,22783.06,22783.06,22783.06,0,0,0,0
"VMVX9WP+01",30593.93,30593.93,22945.44,22945.44,22945.44,22945.44,0,0,0,0
"XAXQ3S5+01",30608.82,30608.82,22956.62,22956.62,22956.62,0,0,0,0,0
"WV292HN+01",30720.87,30720.87,23040.65,23040.65,23040.65,0,0,0,0,0
"WM4QFSW+01",31076.7,31076.7,23307.53,23307.53,23307.53,0,0,0,0,0
"REGXZ8T+01",31155,31155,23366.25,23366.25,23366.25,23366.25,0,0,0,0
"APTSHY6+01",31315.72,31315.72,23486.79,23486.79,23486.79,0,0,0,0,0
"JMSK8D9+01",31620,31620,23715,23715,23715,0,0,0,0,0
"NCK345B+01",31810,31810,23857.5,23857.5,23857.5,0,0,0,0,0
"GGDYEGE+01",31977.95,31977.95,23983.46,23983.46,23983.46,0,0,0,0,0
"QD23H8X+01",32404.15,32404.15,24303.11,24303.11,24303.11,0,0,0,0,0
"54ARCJF+01",32404.2,32404.2,24303.15,24303.15,24303.15,0,0,0,0,0
